home_team,away_team,probability
Bucks,Celtics,0.5143106
Bucks,76ers,0.5552774
Bucks,Cavaliers,0.5945512
Bucks,Knicks,0.6426206
Bucks,Nets,0.6646815
Bucks,Heat,0.6753727
Bucks,Hawks,0.6961109
Bucks,Nuggets,0.5693882
Bucks,Grizzlies,0.5945512
Bucks,Kings,0.6312364
Bucks,Suns,0.6646815
Bucks,Clippers,0.6753727
Bucks,Warriors,0.6753727
Bucks,Lakers,0.6867103
Bucks,Timberwolves,0.696957
Celtics,Bucks,0.4856894
Celtics,76ers,0.5410968
Celtics,Cavaliers,0.5806772
Celtics,Knicks,0.6293661
Celtics,Nets,0.6518019
Celtics,Heat,0.6626954
Celtics,Hawks,0.6838644
Celtics,Nuggets,0.5552973
Celtics,Grizzlies,0.5806772
Celtics,Kings,0.6178109
Celtics,Suns,0.6518019
Celtics,Clippers,0.6626954
Celtics,Warriors,0.6626954
Celtics,Lakers,0.6742622
Celtics,Timberwolves,0.6847291
76ers,Bucks,0.4447226
76ers,Celtics,0.4589032
76ers,Cavaliers,0.5401124
76ers,Knicks,0.5901872
76ers,Nets,0.6135383
76ers,Heat,0.6249401
76ers,Hawks,0.6472172
76ers,Nuggets,0.5143307
76ers,Grizzlies,0.5401124
76ers,Kings,0.5782291
76ers,Suns,0.6135383
76ers,Clippers,0.6249401
76ers,Warriors,0.6249401
76ers,Lakers,0.6370926
76ers,Timberwolves,0.6481305
Cavaliers,Bucks,0.4054488
Cavaliers,Celtics,0.4193228
Cavaliers,76ers,0.4598876
Cavaliers,Knicks,0.5508101
Cavaliers,Nets,0.5747883
Cavaliers,Heat,0.586563
Cavaliers,Hawks,0.6096959
Cavaliers,Nuggets,0.4741589
Cavaliers,Grizzlies,0.5
Cavaliers,Kings,0.5386012
Cavaliers,Suns,0.5747883
Cavaliers,Clippers,0.586563
Cavaliers,Warriors,0.586563
Cavaliers,Lakers,0.5991614
Cavaliers,Timberwolves,0.610648
Knicks,Bucks,0.3573794
Knicks,Celtics,0.3706339
Knicks,76ers,0.4098128
Knicks,Cavaliers,0.4491899
Knicks,Nets,0.5243484
Knicks,Heat,0.5363932
Knicks,Hawks,0.5602286
Knicks,Nuggets,0.4237493
Knicks,Grizzlies,0.4491899
Knicks,Kings,0.4876946
Knicks,Suns,0.5243484
Knicks,Clippers,0.5363932
Knicks,Warriors,0.5363932
Knicks,Lakers,0.5493458
Knicks,Timberwolves,0.5612145
Nets,Bucks,0.3353185
Nets,Celtics,0.3481981
Nets,76ers,0.3864617
Nets,Cavaliers,0.4252117
Nets,Knicks,0.4756516
Nets,Heat,0.5120877
Nets,Hawks,0.536092
Nets,Nuggets,0.4001425
Nets,Grizzlies,0.4252117
Nets,Kings,0.4633901
Nets,Suns,0.5
Nets,Clippers,0.5120877
Nets,Warriors,0.5120877
Nets,Lakers,0.5251182
Nets,Timberwolves,0.5370872
Heat,Bucks,0.3246273
Heat,Celtics,0.3373046
Heat,76ers,0.3750599
Heat,Cavaliers,0.413437
Heat,Knicks,0.4636068
Heat,Nets,0.4879123
Heat,Hawks,0.5240463
Heat,Nuggets,0.3885927
Heat,Grizzlies,0.413437
Heat,Kings,0.4513885
Heat,Suns,0.4879123
Heat,Clippers,0.5
Heat,Warriors,0.5
Heat,Lakers,0.5130463
Heat,Timberwolves,0.5250445
Hawks,Bucks,0.3038891
Hawks,Celtics,0.3161356
Hawks,76ers,0.3527828
Hawks,Cavaliers,0.3903041
Hawks,Knicks,0.4397714
Hawks,Nets,0.463908
Hawks,Heat,0.4759537
Hawks,Nuggets,0.3659825
Hawks,Grizzlies,0.3903041
Hawks,Kings,0.4276803
Hawks,Suns,0.463908
Hawks,Clippers,0.4759537
Hawks,Warriors,0.4759537
Hawks,Lakers,0.4889863
Hawks,Timberwolves,0.5010006
Nuggets,Bucks,0.4306118
Nuggets,Celtics,0.4447027
Nuggets,76ers,0.4856693
Nuggets,Cavaliers,0.5258411
Nuggets,Knicks,0.5762507
Nuggets,Nets,0.5998575
Nuggets,Heat,0.6114073
Nuggets,Hawks,0.6340175
Nuggets,Grizzlies,0.5258411
Nuggets,Kings,0.5641862
Nuggets,Suns,0.5998575
Nuggets,Clippers,0.6114073
Nuggets,Warriors,0.6114073
Nuggets,Lakers,0.6237343
Nuggets,Timberwolves,0.6349457
Grizzlies,Bucks,0.4054488
Grizzlies,Celtics,0.4193228
Grizzlies,76ers,0.4598876
Grizzlies,Cavaliers,0.5
Grizzlies,Knicks,0.5508101
Grizzlies,Nets,0.5747883
Grizzlies,Heat,0.586563
Grizzlies,Hawks,0.6096959
Grizzlies,Nuggets,0.4741589
Grizzlies,Kings,0.5386012
Grizzlies,Suns,0.5747883
Grizzlies,Clippers,0.586563
Grizzlies,Warriors,0.586563
Grizzlies,Lakers,0.5991614
Grizzlies,Timberwolves,0.610648
Kings,Bucks,0.3687636
Kings,Celtics,0.3821891
Kings,76ers,0.4217709
Kings,Cavaliers,0.4613988
Kings,Knicks,0.5123054
Kings,Nets,0.5366099
Kings,Heat,0.5486115
Kings,Hawks,0.5723197
Kings,Nuggets,0.4358138
Kings,Grizzlies,0.4613988
Kings,Suns,0.5366099
Kings,Clippers,0.5486115
Kings,Warriors,0.5486115
Kings,Lakers,0.5615019
Kings,Timberwolves,0.5732991
Suns,Bucks,0.3353185
Suns,Celtics,0.3481981
Suns,76ers,0.3864617
Suns,Cavaliers,0.4252117
Suns,Knicks,0.4756516
Suns,Nets,0.5
Suns,Heat,0.5120877
Suns,Hawks,0.536092
Suns,Nuggets,0.4001425
Suns,Grizzlies,0.4252117
Suns,Kings,0.4633901
Suns,Clippers,0.5120877
Suns,Warriors,0.5120877
Suns,Lakers,0.5251182
Suns,Timberwolves,0.5370872
Clippers,Bucks,0.3246273
Clippers,Celtics,0.3373046
Clippers,76ers,0.3750599
Clippers,Cavaliers,0.413437
Clippers,Knicks,0.4636068
Clippers,Nets,0.4879123
Clippers,Heat,0.5
Clippers,Hawks,0.5240463
Clippers,Nuggets,0.3885927
Clippers,Grizzlies,0.413437
Clippers,Kings,0.4513885
Clippers,Suns,0.4879123
Clippers,Warriors,0.5
Clippers,Lakers,0.5130463
Clippers,Timberwolves,0.5250445
Warriors,Bucks,0.3246273
Warriors,Celtics,0.3373046
Warriors,76ers,0.3750599
Warriors,Cavaliers,0.413437
Warriors,Knicks,0.4636068
Warriors,Nets,0.4879123
Warriors,Heat,0.5
Warriors,Hawks,0.5240463
Warriors,Nuggets,0.3885927
Warriors,Grizzlies,0.413437
Warriors,Kings,0.4513885
Warriors,Suns,0.4879123
Warriors,Clippers,0.5
Warriors,Lakers,0.5130463
Warriors,Timberwolves,0.5250445
Lakers,Bucks,0.3132897
Lakers,Celtics,0.3257378
Lakers,76ers,0.3629074
Lakers,Cavaliers,0.4008386
Lakers,Knicks,0.4506542
Lakers,Nets,0.4748818
Lakers,Heat,0.4869537
Lakers,Hawks,0.5110137
Lakers,Nuggets,0.3762657
Lakers,Grizzlies,0.4008386
Lakers,Kings,0.4384981
Lakers,Suns,0.4748818
Lakers,Clippers,0.4869537
Lakers,Warriors,0.4869537
Lakers,Timberwolves,0.5120138
Timberwolves,Bucks,0.303043
Timberwolves,Celtics,0.3152709
Timberwolves,76ers,0.3518695
Timberwolves,Cavaliers,0.389352
Timberwolves,Knicks,0.4387855
Timberwolves,Nets,0.4629128
Timberwolves,Heat,0.4989994
Timberwolves,Hawks,0.4749555
Timberwolves,Nuggets,0.3650543
Timberwolves,Grizzlies,0.389352
Timberwolves,Kings,0.4267009
Timberwolves,Suns,0.4629128
Timberwolves,Clippers,0.4749555
Timberwolves,Warriors,0.4749555
Timberwolves,Lakers,0.4879862
